

📡海南移动V4,#genre#
重庆卫视,http://183.255.10.92:6610/200000001898/460000089800010218/1.m3u8?IASHttpSessionId=ACE
东方卫视,http://183.255.10.72:6610/200000001898/460000089800010054/1.m3u8?IASHttpSessionId=ACE
东方卫视,http://183.255.10.86:6610/200000001898/460000089800010067/1.m3u8?IASHttpSessionId=ACE
东方卫视,http://183.255.10.92:6610/200000001898/460000089800010219/1.m3u8?IASHttpSessionId=ACE
广东卫视,http://183.255.10.76:6610/200000001898/460000089800010055/1.m3u8?IASHttpSessionId=ACE
广东卫视,http://183.255.10.92:6610/200000001898/460000089800010221/1.m3u8?IASHttpSessionId=ACE
黑龙江卫视,http://183.255.10.92:6610/200000001898/460000089800010056/1.m3u8?IASHttpSessionId=ACE
黑龙江卫视,http://183.255.10.92:6610/200000001898/460000089800010222/1.m3u8?IASHttpSessionId=ACE
湖北卫视,http://183.255.10.70:6610/200000001898/460000089800010057/1.m3u8?IASHttpSessionId=ACE
湖北卫视,http://183.255.10.92:6610/200000001898/460000089800010223/1.m3u8?IASHttpSessionId=ACE
湖南卫视,http://183.255.10.86:6610/200000001898/460000089800010058/1.m3u8?IASHttpSessionId=ACE
湖南卫视,http://183.255.10.123:6610/200000001898/460000089800010224/1.m3u8?IASHttpSessionId=ACE
江苏卫视,http://183.255.10.74:6610/200000001898/460000089800010059/1.m3u8?IASHttpSessionId=ACE
江苏卫视,http://183.255.10.123:6610/200000001898/460000089800010225/1.m3u8?IASHttpSessionId=ACE
江西卫视,http://183.255.10.70:6610/200000001898/460000089800010060/1.m3u8?IASHttpSessionId=ACE
辽宁卫视,http://183.255.10.92:6610/200000001898/460000089800010061/1.m3u8?IASHttpSessionId=ACE
山东卫视,http://183.255.10.72:6610/200000001898/460000089800010066/1.m3u8?IASHttpSessionId=ACE
深圳卫视,http://183.255.10.82:6610/200000001898/460000089800010068/1.m3u8?IASHttpSessionId=ACE
天津卫视,http://183.255.10.84:6610/200000001898/460000089800010069/1.m3u8?IASHttpSessionId=ACE
浙江卫视,http://183.255.10.74:6610/200000001898/460000089800010070/1.m3u8?IASHttpSessionId=ACE
河南卫视,http://183.255.10.76:6610/200000001898/460000089800010071/1.m3u8?IASHttpSessionId=ACE
吉林卫视,http://183.255.10.72:6610/200000001898/460000089800010075/1.m3u8?IASHttpSessionId=ACE
海南卫视,http://183.255.10.78:6610/200000001898/460000089800010083/1.m3u8?IASHttpSessionId=ACE
东南卫视,http://183.255.10.80:6610/200000001898/460000089800010096/1.m3u8?IASHttpSessionId=ACE
甘肃卫视,http://183.255.10.76:6610/200000001898/460000089800010098/1.m3u8?IASHttpSessionId=ACE
广西卫视,http://183.255.10.74:6610/200000001898/460000089800010099/1.m3u8?IASHttpSessionId=ACE
贵州卫视,http://183.255.10.92:6610/200000001898/460000089800010100/1.m3u8?IASHttpSessionId=ACE
河北卫视,http://183.255.10.70:6610/200000001898/460000089800010101/1.m3u8?IASHttpSessionId=ACE
大湾区卫视,http://183.255.10.86:6610/200000001898/460000089800010108/1.m3u8?IASHttpSessionId=ACE
内蒙古卫视,http://183.255.10.86:6610/200000001898/460000089800010109/1.m3u8?IASHttpSessionId=ACE
宁夏卫视,http://183.255.10.84:6610/200000001898/460000089800010110/1.m3u8?IASHttpSessionId=ACE
青海卫视,http://183.255.10.86:6610/200000001898/460000089800010111/1.m3u8?IASHttpSessionId=ACE
山东教育卫视,http://183.255.10.84:6610/200000001898/460000089800010112/1.m3u8?IASHttpSessionId=ACE
陕西卫视,http://183.255.10.82:6610/200000001898/460000089800010113/1.m3u8?IASHttpSessionId=ACE
山西卫视,http://183.255.10.92:6610/200000001898/460000089800010114/1.m3u8?IASHttpSessionId=ACE
四川卫视,http://183.255.10.70:6610/200000001898/460000089800010115/1.m3u8?IASHttpSessionId=ACE
新疆卫视,http://183.255.10.80:6610/200000001898/460000089800010116/1.m3u8?IASHttpSessionId=ACE
云南卫视,http://183.255.10.80:6610/200000001898/460000089800010119/1.m3u8?IASHttpSessionId=ACE
西藏藏语,http://183.255.10.80:6610/200000001898/460000089800010123/1.m3u8?IASHttpSessionId=ACE
广东珠江,http://183.255.10.76:6610/200000001898/460000089800010091/1.m3u8?IASHttpSessionId=ACE
嘉佳卡通,http://183.255.10.74:6610/200000001898/460000089800010102/1.m3u8?IASHttpSessionId=ACE
金鹰纪实,http://183.255.10.84:6610/200000001898/460000089800010106/1.m3u8?IASHttpSessionId=ACE
金鹰卡通,http://183.255.10.72:6610/200000001898/460000089800010107/1.m3u8?IASHttpSessionId=ACE
哈哈炫动,http://183.255.10.76:6610/200000001898/460000089800010117/1.m3u8?IASHttpSessionId=ACE
优漫卡通,http://183.255.10.78:6610/200000001898/460000089800010118/1.m3u8?IASHttpSessionId=ACE
黑莓电影,http://183.255.10.70:6610/200000001898/460000089800010073/1.m3u8?IASHttpSessionId=ACE
黑莓动画,http://183.255.10.80:6610/200000001898/460000089800010002/1.m3u8?IASHttpSessionId=ACE
哒啵赛事,http://183.255.10.70:6610/200000001898/460000089800010120/1.m3u8?IASHttpSessionId=ACE
爱情喜剧,http://183.255.10.72:6610/200000001898/460000089800010000/1.m3u8?IASHttpSessionId=ACE
动作电影,http://183.255.10.78:6610/200000001898/460000089800010003/1.m3u8?IASHttpSessionId=ACE
古装剧场,http://183.255.10.82:6610/200000001898/460000089800010004/1.m3u8?IASHttpSessionId=ACE
潮妈辣婆,http://183.255.10.84:6610/200000001898/460000089800010005/1.m3u8?IASHttpSessionId=ACE
东北热剧,http://183.255.10.78:6610/200000001898/460000089800010021/1.m3u8?IASHttpSessionId=ACE
欢乐剧场,http://183.255.10.78:6610/200000001898/460000089800010025/1.m3u8?IASHttpSessionId=ACE
炫舞未来,http://183.255.10.76:6610/200000001898/460000089800010039/1.m3u8?IASHttpSessionId=ACE
超级综艺,http://183.255.10.76:6610/200000001898/460000089800010062/1.m3u8?IASHttpSessionId=ACE
超级体育,http://183.255.10.74:6610/200000001898/460000089800010063/1.m3u8?IASHttpSessionId=ACE
超级电影,http://183.255.10.84:6610/200000001898/460000089800010064/1.m3u8?IASHttpSessionId=ACE
超级电视剧,http://183.255.10.82:6610/200000001898/460000089800010065/1.m3u8?IASHttpSessionId=ACE
精品大剧,http://183.255.10.92:6610/200000001898/460000089800010072/1.m3u8?IASHttpSessionId=ACE
家庭剧场,http://183.255.10.82:6610/200000001898/460000089800010074/1.m3u8?IASHttpSessionId=ACE
精品纪录,http://183.255.10.86:6610/200000001898/460000089800010076/1.m3u8?IASHttpSessionId=ACE
惊悚悬疑,http://183.255.10.78:6610/200000001898/460000089800010077/1.m3u8?IASHttpSessionId=ACE
军旅剧场,http://183.255.10.72:6610/200000001898/460000089800010079/1.m3u8?IASHttpSessionId=ACE
金牌综艺,http://183.255.10.70:6610/200000001898/460000089800010086/1.m3u8?IASHttpSessionId=ACE
中国功夫,http://183.255.10.92:6610/200000001898/460000089800010087/1.m3u8?IASHttpSessionId=ACE
英雄联盟,http://183.255.10.74:6610/200000001898/460000089800010090/1.m3u8?IASHttpSessionId=ACE
明星大片,http://183.255.10.92:6610/200000001898/460000089800010121/1.m3u8?IASHttpSessionId=ACE
武博世界,http://183.255.10.70:6610/200000001898/460000089800010135/1.m3u8?IASHttpSessionId=ACE
精品萌宠,http://183.255.10.76:6610/200000001898/460000089800010146/1.m3u8?IASHttpSessionId=ACE
睛彩青少,http://183.255.10.78:6610/200000001898/460000089800010147/1.m3u8?IASHttpSessionId=ACE
睛彩广场舞,http://183.255.10.92:6610/200000001898/460000089800010233/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.82:6610/200000001898/460000089800010088/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.80:6610/200000001898/460000089800010082/1.m3u8?IASHttpSessionId=ACE
家有购物,http://183.255.10.84:6610/200000001898/460000089800010089/1.m3u8?IASHttpSessionId=ACE
央广购物,http://183.255.10.78:6610/200000001898/460000089800010097/1.m3u8?IASHttpSessionId=ACE
央广购物,http://183.255.10.78:6610/200000001898/460000089800010129/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.80:6610/200000001898/460000089800010130/1.m3u8?IASHttpSessionId=ACE
快乐购,http://183.255.10.70:6610/200000001898/460000089800010131/1.m3u8?IASHttpSessionId=ACE
央广购物,http://183.255.10.86:6610/200000001898/460000089800010132/1.m3u8?IASHttpSessionId=ACE
优购物,http://183.255.10.86:6610/200000001898/460000089800010133/1.m3u8?IASHttpSessionId=ACE


📡央视频道V4全网,#genre#

CCTV1 4K,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv1avs
CCTV3 4K,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv3avs
CCTV4K,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv4k
CCTV5 4K,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv5avs
CCTV16 4K,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv164k
纯享4K,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cx4k

CCTV1,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv1
CCTV2,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv2
CCTV3,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv3
CCTV4,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv4
CCTV5,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv5
CCTV5+,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv5p
CCTV6,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv6
CCTV6,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv6avs
CCTV7,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv7
CCTV8,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv8
CCTV8,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv8avs
CCTV9,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv9
CCTV10,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv10
CCTV11,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv11
CCTV12,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv12
CCTV13,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv13
CCTV14,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv14
CCTV15,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv15
CCTV16,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv16
CCTV17,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cctv17
CETV1,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cetv1
CETV2,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cetv2
CETV3,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cetv3
CETV4,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cetv4
CCTV第一剧场,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=dyjc
CCTV央视台球,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ystq
CCTV世界地理,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=sjdl
CCTV兵器科技,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=bqkj
CCTV央视文化,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=yswh
CCTV女性时尚,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=nxss
CCTV怀旧剧场,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hjjc
CCTV电视指南,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=dszn
CCTV风云剧场,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=fyjc
CCTV风云足球,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=fyzq
CCTV风云音乐,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=fyyy
CCTV高尔网球,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=gefwq
早期教育,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cetvzqjy
发现之旅,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=fxzl
老故事,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=lgs
重庆卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cqws
江苏卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsws
浙江卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=zjws
东方卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=dfws
深圳卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=szws
北京卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=bjws
山东卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=sdws
天津卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tjws
贵州卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=gzws
四川卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=scws
云南卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ynws
广西卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=gxws
黑龙江卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hljws
安徽卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ahws
山西卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=sxws
江西卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jxws
湖北卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hbtv
旅游卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=lyws
陕西卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ssxws
东南卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=dnws
吉林卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jlws
辽宁卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=lnws
内蒙古卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=nmgws
湖南卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hntv
广东卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=gdws
河南卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hnws
河北卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hbws
宁夏卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=nxws
甘肃卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=gsws
青海卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=qhws
新疆卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xjws
西藏卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzws
兵团卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=btws
农林卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=nlws
厦门卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xmws
康巴卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=kbws
延边卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ybws
安多卫视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=adws

江苏仪化,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsyh
江苏体育,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsty
江苏公共,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsgg
江苏城市,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jscs
江苏影视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsys
江苏教育,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsjy
江苏综艺,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jszy
南京信息,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njxx
南京十八,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njsb
南京娱乐,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njyl
南京少儿,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njse
南京影视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njys
南京教科,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njjk
南京新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njxw
南京生活,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=njsh
南通一套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsnttv1
南通二套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsnttv2
东海文娱,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=dhtv2
东海新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=dhtv1
徐州公共,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xztv4
徐州影视,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xztv3
徐州新沂,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzxytv
徐州新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xztv1
徐州经济,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xztv2
常州公共,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cztv4
常州新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cztv1
常州生活,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cztv3
常州都市,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cztv2
沛县新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzpxtv1
沛县生活,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzpxtv3
沛县综艺,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzpxtv2
泰州一套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tztv1
泰州二套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tztv2
泰州三套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tztv3
盐城一套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=yctv1
盐城二套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=yctvtv2
盐城三套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=yctvtv3
睢宁综合,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzsntv1
睢宁资讯,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzsntv2
睢宁生活,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzsntv3
睢宁三农,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzsntv4
连云港新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=lygtv1
连云港公共,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=lygtv2
邳州综合,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=pztv1
邳州综艺,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=pztv2
铜山一套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tstv1
铜山二套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tstv2
铜山三套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tstv3
铜山四套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=tstv4
镇江一套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jszjtv1
镇江二套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jszjtv2
镇江三套,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jszjtv3
江都频道,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=yzjdtv
赣榆新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=gytv
公共崇川,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jsntsantao
宿迁综合,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=sqtv1
宿迁公共,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=sqtv2
宝应新闻,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=bytv1
宝应生活,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=bytv2

时尚购物,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ssgw
优购物,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ygw
CGTN,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cgtn
欢笑剧场4K,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hxjc
上海纪实,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=shjs
动物世界,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=dwsj
北京纪实,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=bjjs
金鹰卡通,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jykt
嘉佳卡通,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jjkt
炫动卡通,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xdkt
卡酷少儿,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=kkse
优漫卡通,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ymkt
奥特曼,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=atm
汪汪队,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=wwd
小猪佩奇,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xzpq
超级飞侠,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=cjfx
熊出没,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=xcm
好享购物,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=hxgw
家庭理财,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jtlc
居家优选,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=jjyx
山东教育,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=sdetv
影视剧场,http://cqshushu.us.kg:2086/公众号【医工学习日志】/jiangsu.php?id=ysjc
